mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_preprocess__text__max_features,param_preprocess__text__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.931053717931111,0.04366639022943154,1.0263742605845134,0.01972842929404174,1.2,20000,"(1, 2)","{'model__C': 1.2, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 2)}",0.7550483896640439,0.7459621976289982,0.7498680682591474,0.7502928851840632,0.003721565395475676,28
3.9798547426859536,0.08182216278086578,0.4987523555755615,0.008377748287740799,1.2,24000,"(1, 1)","{'model__C': 1.2, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 1)}",0.7597787074200043,0.748605331371678,0.7497130023252481,0.7526990137056435,0.005026481940828747,2
8.295488675435385,0.235786422057895,1.068097988764445,0.02247514027666836,1.2,24000,"(1, 2)","{'model__C': 1.2, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 2)}",0.7551601579925554,0.7457584232512116,0.7527484496076751,0.7512223436171473,0.003987054356070532,11
3.382071018218994,0.016479986526108218,0.446365753809611,0.014461449886626801,1.5,12000,"(1, 1)","{'model__C': 1.5, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 1)}",0.7592550718490906,0.7458197194983777,0.7480250565467349,0.751033282631401,0.005882983445458102,14
7.85131557782491,0.2225851316537191,1.055830717086792,0.02612039442721456,1.5,12000,"(1, 2)","{'model__C': 1.5, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 2)}",0.7529786787970286,0.7469410839522602,0.7464463832384152,0.7487887153292346,0.0029696270916458674,35
3.5894550482432046,0.10295531278550549,0.46414653460184735,0.02022894329764866,1.5,16000,"(1, 1)","{'model__C': 1.5, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 1)}",0.7585767874526547,0.7457142726109425,0.7479269977032568,0.7507393525889512,0.0056150439010236326,19
7.904164711634318,0.10738125829907275,1.01754895846049,0.016826534514801036,1.5,16000,"(1, 2)","{'model__C': 1.5, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 2)}",0.7526421126015661,0.7474051972087835,0.7491055061311579,0.7497176053138359,0.0021813328899042543,31
4.008490959803264,0.14970210924850316,0.4887239933013916,0.03189164369631084,1.5,20000,"(1, 1)","{'model__C': 1.5, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 1)}",0.7594015270732279,0.7457510272706872,0.7466557607892603,0.7506027717110584,0.006232613557055428,21
8.75400972366333,0.09029196358998981,1.0835972627003987,0.010935776740388236,1.5,20000,"(1, 2)","{'model__C': 1.5, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 2)}",0.7553492881481944,0.7465305005684986,0.7496282794963703,0.7505026894043545,0.0036529620957368018,25
4.304945786794026,0.05056491265157706,0.5129586855570475,0.025793659922059824,1.5,24000,"(1, 1)","{'model__C': 1.5, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 1)}",0.7591282500913742,0.7467368936775642,0.7488106463730859,0.7515585967140082,0.005419092897687341,9
8.976364056269327,0.23754640125366389,1.1361663341522217,0.02394839820465682,1.5,24000,"(1, 2)","{'model__C': 1.5, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 2)}",0.7554199369011068,0.7468422452817635,0.7511948376390937,0.7511523399406546,0.0035019568738937495,13
3.659141699473063,0.09052911270840126,0.4754336675008138,0.017509570590132566,2.0,12000,"(1, 1)","{'model__C': 2.0, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 1)}",0.7588920640135716,0.7441951581611657,0.7435281808516978,0.7488718010088116,0.007090626098178543,34
8.246005614598593,0.5528491358594708,1.24419371287028,0.09679034157623974,2.0,12000,"(1, 2)","{'model__C': 2.0, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 2)}",0.750484266777823,0.7442685252934632,0.7438303629136025,0.7461943849949629,0.0030386741462867686,40
4.067680597305298,0.17307824634169847,0.49793481826782227,0.025444660660484397,2.0,16000,"(1, 1)","{'model__C': 2.0, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 1)}",0.7614005631410822,0.7433559973192786,0.7470489030182582,0.7506018211595397,0.007783273065291388,22
9.18739628791809,0.12254304803222706,1.123035192489624,0.04132810524327278,2.0,16000,"(1, 2)","{'model__C': 2.0, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 2)}",0.7517783487436371,0.7481510336235647,0.7459540500239785,0.7486278107970601,0.0024015413451682717,36
4.8511026700337725,0.15406906859930522,0.49258748690287274,0.03399226757499227,2.0,20000,"(1, 1)","{'model__C': 2.0, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 1)}",0.7590503223688442,0.7463530878102447,0.7461568282290539,0.7505200794693808,0.006032324725934696,24
9.505588372548422,0.35464890105795815,0.8629492123921713,0.09126916199630576,2.0,20000,"(1, 2)","{'model__C': 2.0, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 2)}",0.7532070414933144,0.7449796764355266,0.7459589505604322,0.7480485561630911,0.0036694434300517027,38
4.873262723286946,0.1885794665964589,0.5448076725006104,0.030168924359202577,2.0,24000,"(1, 1)","{'model__C': 2.0, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 1)}",0.7578356201210357,0.7461371156283805,0.7460765075532944,0.7500164144342368,0.005529068728941723,29
7.353372255961101,0.5944376149131788,0.5626601378122965,0.08409118130049005,2.0,24000,"(1, 2)","{'model__C': 2.0, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 2)}",0.7557890499492069,0.7448466962314247,0.7481752981445567,0.7496036814417294,0.004579955265720173,32
